2304103;2312;Professor ensino fundamental primeira a quarta séries;838.25;34;21;OUTROS
2933208;2321;Professor ensino médio;811.50;2;0;OUTROS
3500709;2312;Professor ensino fundamental primeira a quarta séries;2691.34;16;16;OUTROS
2407609;2312;Professor ensino fundamental primeira a quarta séries;1980.34;9;9;PREFEITURA
4111555;2312;Professor ensino fundamental primeira a quarta séries;1447.02;71;71;PREFEITURA
3144508;2312;Professor ensino fundamental primeira a quarta séries;1096.80;54;42;PREFEITURA
4128302;2321;Professor ensino médio;1536.86;8;1;PREFEITURA
3149507;2313;Professor ensino fundamental quinta a oitava séries;90.06;15;13;PREFEITURA
3205002;2321;Professor ensino médio;1464.69;52;30;OUTROS
2514651;2313;Professor ensino fundamental quinta a oitava séries;1947.05;8;6;PREFEITURA
5219456;2312;Professor ensino fundamental primeira a quarta séries;2283.53;27;27;PREFEITURA
2500700;2313;Professor ensino fundamental quinta a oitava séries;788.00;1;0;PREFEITURA
3146750;2313;Professor ensino fundamental quinta a oitava séries;1050.00;1;0;PREFEITURA
3544608;2321;Professor ensino médio;1476.24;3;3;PREFEITURA
2932309;2321;Professor ensino médio;849.33;3;2;OUTROS
2911105;2321;Professor ensino médio;1118.00;2;2;OUTROS
1501808;2321;Professor ensino médio;1002.35;1;1;PREFEITURA
4118600;2321;Professor ensino médio;1319.33;2;2;PREFEITURA
5208806;2313;Professor ensino fundamental quinta a oitava séries;2000.00;2;2;OUTROS
2608057;2313;Professor ensino fundamental quinta a oitava séries;2220.06;1;1;PREFEITURA
2925600;2312;Professor ensino fundamental primeira a quarta séries;1377.03;136;0;PREFEITURA
3203809;2312;Professor ensino fundamental primeira a quarta séries;1691.79;56;53;PREFEITURA
2311405;2321;Professor ensino médio;743.39;8;6;OUTROS
4307831;2321;Professor ensino médio;2255.83;50;27;PREFEITURA
4110102;2313;Professor ensino fundamental quinta a oitava séries;609.52;2;0;PREFEITURA
4306056;2321;Professor ensino médio;1264.60;6;3;PREFEITURA
1721109;2312;Professor ensino fundamental primeira a quarta séries;2125.78;44;3;PREFEITURA
2615904;2312;Professor ensino fundamental primeira a quarta séries;1988.05;46;44;PREFEITURA
3557105;2313;Professor ensino fundamental quinta a oitava séries;2328.67;58;57;PREFEITURA
4300034;2312;Professor ensino fundamental primeira a quarta séries;962.34;54;44;PREFEITURA
4126355;2312;Professor ensino fundamental primeira a quarta séries;1516.30;64;64;PREFEITURA
3143203;2312;Professor ensino fundamental primeira a quarta séries;656.19;5;2;OUTROS
5219308;2312;Professor ensino fundamental primeira a quarta séries;1688.24;16;14;OUTROS
4108205;2312;Professor ensino fundamental primeira a quarta séries;2695.95;33;33;PREFEITURA
4203006;2313;Professor ensino fundamental quinta a oitava séries;499.89;7;6;OUTROS
2206720;2312;Professor ensino fundamental primeira a quarta séries;1818.45;116;116;PREFEITURA
2912806;2312;Professor ensino fundamental primeira a quarta séries;1301.81;9;7;PREFEITURA
4113205;2312;Professor ensino fundamental primeira a quarta séries;1016.52;14;2;OUTROS
2203503;2312;Professor ensino fundamental primeira a quarta séries;1159.31;51;44;PREFEITURA
5220454;2312;Professor ensino fundamental primeira a quarta séries;12.97;984;984;PREFEITURA
3517901;2313;Professor ensino fundamental quinta a oitava séries;1979.73;13;12;PREFEITURA
2206605;2312;Professor ensino fundamental primeira a quarta séries;881.27;11;4;PREFEITURA
4210100;2312;Professor ensino fundamental primeira a quarta séries;8863.66;2;2;OUTROS
4127700;2312;Professor ensino fundamental primeira a quarta séries;1758.89;152;151;OUTROS
2917102;2313;Professor ensino fundamental quinta a oitava séries;788.00;1;1;OUTROS
2912707;2312;Professor ensino fundamental primeira a quarta séries;1415.35;3;3;PREFEITURA
3527009;2313;Professor ensino fundamental quinta a oitava séries;2001.63;44;43;PREFEITURA
2309805;2312;Professor ensino fundamental primeira a quarta séries;952.53;23;22;OUTROS
3104809;2321;Professor ensino médio;1277.31;32;9;PREFEITURA
3550803;2321;Professor ensino médio;1797.91;9;8;PREFEITURA
3130101;2312;Professor ensino fundamental primeira a quarta séries;1520.33;8;8;OUTROS
5103379;2321;Professor ensino médio;1725.96;8;4;PREFEITURA
4128609;2312;Professor ensino fundamental primeira a quarta séries;1485.02;70;70;PREFEITURA
4100806;2313;Professor ensino fundamental quinta a oitava séries;832.14;4;4;OUTROS
4204558;2312;Professor ensino fundamental primeira a quarta séries;2076.86;217;217;PREFEITURA
2701308;2312;Professor ensino fundamental primeira a quarta séries;2132.91;258;161;PREFEITURA
2922854;2313;Professor ensino fundamental quinta a oitava séries;880.00;9;1;PREFEITURA
2930006;2312;Professor ensino fundamental primeira a quarta séries;1307.28;86;86;PREFEITURA
2400802;2321;Professor ensino médio;1786.22;14;0;PREFEITURA
2917607;2321;Professor ensino médio;1855.03;8;5;OUTROS
3142809;2321;Professor ensino médio;1248.40;96;71;PREFEITURA
2900702;2321;Professor ensino médio;942.96;55;33;OUTROS
2406700;2312;Professor ensino fundamental primeira a quarta séries;2186.51;91;65;PREFEITURA
2510006;2312;Professor ensino fundamental primeira a quarta séries;1962.77;88;61;PREFEITURA
