1100031;209
1100122;5011
1100189;1501
1100205;27662
1100338;1623
1100908;222
1101435;419
1101468;158
1101559;280
1101708;837
1200138;1503
1200179;1259
1200351;2562
1200609;7753
1300201;1904
1300631;3832
1300706;5410
1300839;1758
1301001;5072
1301159;3835
1301803;3190
1302009;1411
1302108;1004
1302603;181155
1303007;3619
1303502;2826
1303569;3401
1304203;23314
1304302;2889
1400027;1135
1400175;2179
1400308;2754
1500107;33841
1500206;10117
1500800;51772
1501303;16375
1501402;178961
1501451;3089
1501576;1881
1501782;6955
1501808;37322
1502004;4301
1502301;12123
1502509;3129
1502608;1611
1502756;4414
1502764;1313
1502939;7789
1503002;1520
1503077;7493
1503101;5123
1503200;6515
1503507;5947
1504000;4808
1504109;1104
1504307;5664
1504406;4182
1504422;17163
1504703;14544
1504950;4099
1505007;2341
1505205;5987
1505486;7465
1506161;1091
1506187;4971
1506195;3504
1506401;1718
1506708;4498
1507458;3040
1507607;17472
1507805;3022
1508050;1904
1508126;3505
1508357;1421
1600105;1323
1600303;51012
1600709;2063
1600808;2060
1700301;606
1701002;1395
1702307;522
1702703;445
1703057;321
1703305;531
1703701;539
1703800;832
1703826;302
1704105;271
1707207;1234
1707702;998
1708205;1856
1709807;196
1711100;222
1712504;477
1713205;7165
1713304;1279
1713809;630
1715259;339
1715507;143
1715705;711
1715754;683
1716109;7822
1716307;509
1716604;1002
1717008;550
1717206;406
1717800;624
1718303;818
1718501;516
1718659;167
1718758;713
1718881;325
1720200;1572
1720655;910
1721000;17446
1722081;1281
2100055;31173
2100303;3902
2100402;1361
2100436;4069
2100501;1199
2100709;5922
2100873;2091
2100907;8106
2101400;24063
2101731;1876
2101939;881
2102150;1175
2102200;4695
2102309;3983
2102606;3765
2102754;2621
2103125;1778
2103208;60570
2103257;2460
2103307;31616
2103604;10596
2104008;3644
2104057;9967
2104305;1736
2104800;17229
2105005;4660
2105203;1868
2105807;1974
2106102;1867
2106375;1666
2106409;3391
2106508;5814
2106607;6041
2106672;1536
2107209;2192
2107357;3213
